oldGroups,Phylum,Class,Order,Family,Genus
Acidaminococcus intestinalis/i et al.,Bacteria,Firmicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcaceae
Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Actinomyces europaeus,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces neuii,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces odontolyticus,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces turicensis,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomycetales,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Adlercreutzia celatus/equolifaciens,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae.1
Aerococcus christensenii,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Aggregatibacter segnis,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Pasteurellaceae
Alistipes,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Alistipes
Alistipes finegoldii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes finegoldii/onderdonkii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes indistinctus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Alistipes
Alistipes inops,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes marseilloanorexicus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Alistipes
Alistipes massiliensis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes obesi,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes putredinis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes shahii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Allisonella histaminiformans,Bacteria,Firmicutes,Selenomonadales,Veillonellaceae,Veillonellaceae
Alloscardovia omnicolens,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Alphaproteobacteria,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Anaerococcus,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus lactolyticus,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus murdochii,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus octavius,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus prevotii/tetradius,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus provenciensis,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus senegalensis,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus vaginalis,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus.1,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus.2,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus.3,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus.4,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerostipes,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Anaerostipes hadrus,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Anaerotruncus colihominis,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.2
Arcanobacterium,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Arthrobacter albus/cumminsii,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Atopobium deltae,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Atopobium fossor/minutum,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Atopobium vaginae,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Bacteroides,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides caccae,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides cellulosilyticus/t et al.,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides clarus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides coprocola,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides dorei,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides dorei/fragilis,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides dorei/stercoris,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides dorei/vulgatus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides eggerthii,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides faecichinchillae/f et al.,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides finegoldii,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides massiliensis,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides ovatus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides ovatus.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides ovatus.2,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides ovatus/xylanisolvens,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides plebeius,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides plebeius
Bacteroides plebeius.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides plebeius
Bacteroides salyersiae,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides uniformis,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides uniformis.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides vulgatus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides vulgatus.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides.2,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroides.3,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroides,Bacteroides
Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Barnesiella,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae.2,Porphyromonadaceae.2
Barnesiella.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae.2,Porphyromonadaceae.2
Barnesiella.2,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae.2,Porphyromonadaceae.2
Barnesiella.3,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae.2,Porphyromonadaceae.2
Barnesiella.4,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae.3,Porphyromonadaceae.3
Betaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Bifidobacterium adolescentis/f et al.,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium bifidum,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium breve/kashiwan et al.,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium catenulatum/ga et al.,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bilophila,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Desulfovibrionales
Bilophila wadsworthia,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Desulfovibrionales
Bilophila.1,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Desulfovibrionales
Blautia,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia faecis,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia hansenii/producta,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia obeum,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia obeum.1,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia obeum/wexlerae,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.1,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.2,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.3,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.4,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.5,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.6,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.7,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Blautia.8,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Butyricicoccus,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.6
Butyricicoccus.1,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.6
Butyricimonas,Bacteroidetes,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae.4,Butyricimonas
Butyricimonas faecihominis,Bacteroidetes,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae.4,Butyricimonas
Butyricimonas paravirosa,Bacteroidetes,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae.4,Butyricimonas
Butyricimonas.1,Bacteroidetes,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae.4,Butyricimonas
Butyricimonas.2,Bacteroidetes,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae.4,Butyricimonas
Butyricimonas.3,Bacteroidetes,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae.4,Butyricimonas
Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Campylobacter hominis,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Campylobacter ureolyticus,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Clostridia,Bacteria,Firmicutes,Firmicutes,Clostridia,Clostridia
Clostridiales,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Clostridiales
Clostridiales_Incertae_Sedis_XI,Bacteria,Firmicutes,Firmicutes,Clostridia,Clostridiales_Incertae_Sedis_XI
Clostridiales_Incertae_Sedis_XIII,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.1,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Clostridiales
Clostridiales.10,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.4
Clostridiales.11,Bacteria,Firmicutes,Firmicutes,Clostridia,Clostridiales.5
Clostridiales.12,Bacteria,Firmicutes,Firmicutes,Clostridia,Clostridiales.5
Clostridiales.13,Bacteria,Firmicutes,Firmicutes,Clostridia,Clostridiales.6
Clostridiales.14,Bacteria,Firmicutes,Firmicutes,Firmicutes.1,Firmicutes.2
Clostridiales.15,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.16,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.17,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.18,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.19,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.2,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Clostridiales.1
Clostridiales.20,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.21,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.22,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.23,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.24,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Firmicutes.4
Clostridiales.25,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Firmicutes.4
Clostridiales.26,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Firmicutes.4
Clostridiales.27,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.7
Clostridiales.28,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridiales.29,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridiales.3,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Clostridiales.2
Clostridiales.30,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridiales.4,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Clostridiales.2
Clostridiales.5,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Clostridiales.2
Clostridiales.6,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.3
Clostridiales.7,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.4
Clostridiales.8,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.4
Clostridiales.9,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.4
Clostridium glycyrrhizinilyticum,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_IV,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.2
Clostridium_IV leptum,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.7
Clostridium_IV.1,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.2
Clostridium_IV.2,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.7
Clostridium_IV.3,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.7
Clostridium_IV.4,Bacteria,Firmicutes,Firmicutes.1,Clostridiales,Ruminococcaceae.7
Clostridium_sensu_stricto,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridium_sensu_stricto
Clostridium_sensu_stricto cela et al.,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridium_sensu_stricto
Clostridium_sensu_stricto.1,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridium_sensu_stricto
Clostridium_XlVa,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa aldenense,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa asparagiforme et al.,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa bolteae/clost et al.,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa scindens,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae
Clostridium_XlVa symbiosum,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa.1,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa.2,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa.3,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa.4,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVa.5,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Clostridium_XlVb,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridium_XlVb lactatifermentans,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridium_XlVb.1,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridium_XlVb.2,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Clostridiales.8
Clostridium_XlVb.3,Bacteria,Firmicutes,Firmicutes.1,Clostridium_XlVb,Clostridium_XlVb
Clostridium_XVIII,Bacteria,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae
Clostridium_XVIII ramosum,Bacteria,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae
Collinsella aerofaciens,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Collinsella aerofaciens
