oldGroups,Phylum,Class,Order,Family,Genus
Bacteroides ovatus/xylanisolvens,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides plebeius,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides plebeius
Bacteroides plebeius.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides plebeius
Bacteroides salyersiae,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides uniformis,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides uniformis.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides vulgatus,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides vulgatus.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Bacteroidetes.1,Bacteroidetes,Bacteroidetes.1,Bacteroidetes.2,Bacteroidetes.2,Bacteroidetes.2
Barnesiella,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.2,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.3,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.4,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Betaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Bifidobacterium adolescentis/f et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium bifidum,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium breve/kashiwan et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium catenulatum/ga et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bilophila,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Bilophila.1,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Bilophila wadsworthia,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Blautia,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.2,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.3,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.4,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.5,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.6,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.7,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.8,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia faecis,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia hansenii/producta,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia obeum,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia obeum.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia obeum/wexlerae,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Butyricicoccus,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.6
Butyricicoccus.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.6
Butyricicoccus.2,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.6
Butyricimonas,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas.1,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas.2,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas.3,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas faecihominis,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas paravirosa,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Campylobacter hominis,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Campylobacter ureolyticus,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Clostridia,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridia
Clostridiales,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.1
Clostridiales.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.1
Clostridiales.10,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.11,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.12,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.13,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.14,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.15,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.16,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.17,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.5
Clostridiales.18,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.5
Clostridiales.19,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.5
Clostridiales.2,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.1
Clostridiales.20,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.5
Clostridiales.21,Bacteria,Firmicutes,Clostridiales,Clostridiales,Clostridiales.6
Clostridiales.22,Bacteria,Firmicutes,Clostridiales,Clostridiales,Clostridiales.6
Clostridiales.23,Bacteria,Firmicutes,Clostridiales,Clostridiales,Clostridiales.6
Clostridiales.24,Bacteria,Firmicutes,Clostridiales,Clostridiales,Clostridiales.7
Clostridiales.25,Bacteria,Firmicutes,Clostridiales,Clostridiales,Clostridiales.8
Clostridiales.26,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.9
Clostridiales.27,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridiales.28,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridiales.3,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.2
Clostridiales.4,Bacteria,Firmicutes,Firmicutes,Firmicutes.1,Firmicutes.2
Clostridiales.5,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridiales.3
Clostridiales.6,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridiales.3
Clostridiales.7,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridiales.4
Clostridiales.8,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.9,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales_Incertae_Sedis_XI,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridiales_Incertae_Sedis_XI
Clostridiales_Incertae_Sedis_XIII,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridium glycyrrhizinilyticum,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_IV,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.4
Clostridium_IV.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.4
Clostridium_IV.2,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.4
Clostridium_IV.3,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.4
Clostridium_IV.4,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.4
Clostridium_IV.5,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.1
Clostridium_IV.6,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.1
Clostridium_IV leptum,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.4
Clostridium_sensu_stricto,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Firmicutes
Clostridium_sensu_stricto.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Firmicutes
Clostridium_sensu_stricto cela et al.,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Firmicutes
Clostridium_XlVa,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVa.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVa.2,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_XlVa.3,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_XlVa.4,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_XlVa aldenense,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVa asparagiforme et al.,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_XlVa bolteae/clost et al.,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_XlVa scindens,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVa symbiosum,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Clostridium_XlVb,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae
Clostridium_XlVb.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVb.2,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVb.3,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XlVb lactatifermentans,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Clostridium_XVIII,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae
Clostridium_XVIII ramosum,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae
Collinsella aerofaciens,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Collinsella aerofaciens
Coprobacillus cateniformis,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae
Coprobacter,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Coprobacter
Coprobacter fastidiosus,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Coprobacter
Coprococcus,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae
Coprococcus catus,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Coprococcus comes,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Coriobacteriaceae,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Coriobacteriaceae.1,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae.1
Coriobacteriaceae.2,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Coriobacteriaceae.3,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Coriobacteriaceae.4,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Corynebacterium amycolatum/lactis,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium aurimucosum,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium coyleae/mucifaciens,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium imitans,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium pseudogenitali et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium pseudogenitalium,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium simulans/stria et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Corynebacterium sundsvallense/ et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Desulfovibrio,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Desulfovibrionales,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Dialister,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister.1,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister.2,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister.3,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister.4,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister invisus,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister micraerophilus,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister pneumosintes,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dialister propionicifaciens,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Dorea,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Dorea formicigenerans,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Dorea longicatena,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Eggerthella lenta,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Eisenbergiella tayi,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Enterobacteriaceae,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Enterococcus azikeevi/canintes et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Eremococcus coleocola,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Erysipelotrichaceae bacterium,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae bacterium
Escherichia/Shigella,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Escrichia coli et al.,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Ezakiella,Bacteria,Firmicutes,Clostridia,Clostridia,Ezakiella
Ezakiella peruensis,Bacteria,Firmicutes,Clostridia,Clostridia,Ezakiella
Facklamia,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Facklamia ignava,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Faecalibacterium,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium.2,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium.3,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium.4,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium.5,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii.2,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii.3,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii.4,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii.5,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Faecalibacterium prausnitzii.6,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Fastidiosipila,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Fastidiosipila
Finegoldia,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridiales_Incertae_Sedis_XI
Finegoldia magna,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridiales_Incertae_Sedis_XI
Firmicutes,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Firmicutes
Firmicutes.1,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes.1
Firmicutes.2,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes.1
Firmicutes.3,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes.1
Firmicutes.4,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes.1
Firmicutes.5,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes.1
Firmicutes.6,Bacteria,Firmicutes,Firmicutes,Firmicutes.1,Firmicutes.2
Firmicutes.7,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Flavonifractor,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae
Flavonifractor plautii,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae
Fusicatenibacter saccharivorans,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Fusobacterium,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium.1,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium equinum,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium naviforme/nucleatum,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium nucleatum/period et al.,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Gardnerella vaginalis,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Gardnerella vaginalis.1,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Gemella asaccharolytica,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Gemella haemolysans/morbilloru et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Gemmiger,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Gemmiger.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Gemmiger formicilis,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.7
Granulicatella adiacens/para-a et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Granulicatella elegans,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Haemophilus parainfluenzae,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Pasteurellaceae
Hafnia alvei,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Holdemanella,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae,Holdemanella
Holdemanella biformis,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae,Holdemanella
Holdemania massiliensis,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Holdemania massiliensis,Holdemania massiliensis
Howardella,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Howardella
Howardella ureilytica,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Howardella
Hungatella effluvii/hathewayi,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Intestinibacter bartlettii,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Peptostreptococcaceae
Intestinimonas,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae
Intestinimonas.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae
Intestinimonas butyriciproducens,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae
